keyword,language,country,city,cluster,search_intent,commercial_intent,local_intent,trend_score,trend_direction,search_volume,volume_source,competition,keyword_difficulty,CPC,traffic_potential,conversion_potential,business_value,priority,target_page,content_type,SERP_type,competitors,notes
rénovation appartement Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
rénovation intérieure Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
rénovation extérieure Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
travaux rénovation Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
devis rénovation maison Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
artisan rénovation Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
rénovation complète maison Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
rénovation maison ancienne Toulouse,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
rénovation maison Haute-Garonne,fr,France,Toulouse,RENOVATION_MAISON_TOULOUSE,commercial/local,90,95,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Bâti HALLI, Avenir Rénovations, CA Rénovation, Habitat et Rénovation)",N/A,N/A,high,high,95/100 (HIGH),P1,/services/renovation,page service (page pilier du site),local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"Cluster prioritaire n°1 : c'est le service le plus recherché et le mieux documenté chez les concurrents (FAQ, avant/après). Une seule page cible pour éviter la cannibalisation entre les variantes."
maçon Toulouse,fr,France,Toulouse,MACONNERIE_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"très élevée (Bâti HALLI, RBM Maçonnerie, Maçonnerie Toulouse 31, PagesJaunes, Travaux.com)",N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/maconnerie,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"'Maçon Toulouse' est dominé par des annuaires (PagesJaunes, Travaux.com) en plus des concurrents directs — la fiche Google Business Profile compte autant que la page web ici"
maçonnerie Toulouse,fr,France,Toulouse,MACONNERIE_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"très élevée (Bâti HALLI, RBM Maçonnerie, Maçonnerie Toulouse 31, PagesJaunes, Travaux.com)",N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/maconnerie,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"'Maçon Toulouse' est dominé par des annuaires (PagesJaunes, Travaux.com) en plus des concurrents directs — la fiche Google Business Profile compte autant que la page web ici"
entreprise maçonnerie Toulouse,fr,France,Toulouse,MACONNERIE_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"très élevée (Bâti HALLI, RBM Maçonnerie, Maçonnerie Toulouse 31, PagesJaunes, Travaux.com)",N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/maconnerie,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"'Maçon Toulouse' est dominé par des annuaires (PagesJaunes, Travaux.com) en plus des concurrents directs — la fiche Google Business Profile compte autant que la page web ici"
maçonnerie générale Toulouse,fr,France,Toulouse,MACONNERIE_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"très élevée (Bâti HALLI, RBM Maçonnerie, Maçonnerie Toulouse 31, PagesJaunes, Travaux.com)",N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/maconnerie,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"'Maçon Toulouse' est dominé par des annuaires (PagesJaunes, Travaux.com) en plus des concurrents directs — la fiche Google Business Profile compte autant que la page web ici"
travaux maçonnerie Toulouse,fr,France,Toulouse,MACONNERIE_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"très élevée (Bâti HALLI, RBM Maçonnerie, Maçonnerie Toulouse 31, PagesJaunes, Travaux.com)",N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/maconnerie,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"'Maçon Toulouse' est dominé par des annuaires (PagesJaunes, Travaux.com) en plus des concurrents directs — la fiche Google Business Profile compte autant que la page web ici"
devis maçon Toulouse,fr,France,Toulouse,MACONNERIE_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"très élevée (Bâti HALLI, RBM Maçonnerie, Maçonnerie Toulouse 31, PagesJaunes, Travaux.com)",N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/maconnerie,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"'Maçon Toulouse' est dominé par des annuaires (PagesJaunes, Travaux.com) en plus des concurrents directs — la fiche Google Business Profile compte autant que la page web ici"
prix maçonnerie Toulouse,fr,France,Toulouse,MACONNERIE_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"très élevée (Bâti HALLI, RBM Maçonnerie, Maçonnerie Toulouse 31, PagesJaunes, Travaux.com)",N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/maconnerie,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"'Maçon Toulouse' est dominé par des annuaires (PagesJaunes, Travaux.com) en plus des concurrents directs — la fiche Google Business Profile compte autant que la page web ici"
artisan maçon Toulouse,fr,France,Toulouse,MACONNERIE_TOULOUSE,commercial/local,85,90,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"très élevée (Bâti HALLI, RBM Maçonnerie, Maçonnerie Toulouse 31, PagesJaunes, Travaux.com)",N/A,N/A,medium-high,high,90/100 (HIGH),P1,/services/maconnerie,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"'Maçon Toulouse' est dominé par des annuaires (PagesJaunes, Travaux.com) en plus des concurrents directs — la fiche Google Business Profile compte autant que la page web ici"
terrassement Toulouse,fr,France,Toulouse,TERRASSEMENT_TOULOUSE,commercial/local,80,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"moyenne-élevée (SOCOREBAT, Travaux.com)",N/A,N/A,medium,high,75/100 (MEDIUM),P1,/services/terrassement,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Souvent recherché en combo avec dallage — envisager un maillage fort entre les deux pages plutôt qu'une fusion (services distincts et réellement proposés séparément)
entreprise terrassement Toulouse,fr,France,Toulouse,TERRASSEMENT_TOULOUSE,commercial/local,80,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"moyenne-élevée (SOCOREBAT, Travaux.com)",N/A,N/A,medium,high,75/100 (MEDIUM),P1,/services/terrassement,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Souvent recherché en combo avec dallage — envisager un maillage fort entre les deux pages plutôt qu'une fusion (services distincts et réellement proposés séparément)
terrassement maison Toulouse,fr,France,Toulouse,TERRASSEMENT_TOULOUSE,commercial/local,80,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"moyenne-élevée (SOCOREBAT, Travaux.com)",N/A,N/A,medium,high,75/100 (MEDIUM),P1,/services/terrassement,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Souvent recherché en combo avec dallage — envisager un maillage fort entre les deux pages plutôt qu'une fusion (services distincts et réellement proposés séparément)
prix terrassement Toulouse,fr,France,Toulouse,TERRASSEMENT_TOULOUSE,commercial/local,80,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"moyenne-élevée (SOCOREBAT, Travaux.com)",N/A,N/A,medium,high,75/100 (MEDIUM),P1,/services/terrassement,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Souvent recherché en combo avec dallage — envisager un maillage fort entre les deux pages plutôt qu'une fusion (services distincts et réellement proposés séparément)
devis terrassement Toulouse,fr,France,Toulouse,TERRASSEMENT_TOULOUSE,commercial/local,80,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"moyenne-élevée (SOCOREBAT, Travaux.com)",N/A,N/A,medium,high,75/100 (MEDIUM),P1,/services/terrassement,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Souvent recherché en combo avec dallage — envisager un maillage fort entre les deux pages plutôt qu'une fusion (services distincts et réellement proposés séparément)
dallage Toulouse,fr,France,Toulouse,DALLAGE_TOULOUSE,commercial/local + informational (prix m2),75,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (SOCOREBAT, OCR, Isidéco, dallage-toulouse.com — spécialistes dédiés)",N/A,N/A,medium,medium-high,70/100 (MEDIUM),P1,/services/dallage,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Marché avec des spécialistes purs (dallage-toulouse.com) — RK doit démontrer des réalisations réelles pour rivaliser
dalle béton Toulouse,fr,France,Toulouse,DALLAGE_TOULOUSE,commercial/local + informational (prix m2),75,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (SOCOREBAT, OCR, Isidéco, dallage-toulouse.com — spécialistes dédiés)",N/A,N/A,medium,medium-high,70/100 (MEDIUM),P1,/services/dallage,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Marché avec des spécialistes purs (dallage-toulouse.com) — RK doit démontrer des réalisations réelles pour rivaliser
terrasse béton Toulouse,fr,France,Toulouse,DALLAGE_TOULOUSE,commercial/local + informational (prix m2),75,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (SOCOREBAT, OCR, Isidéco, dallage-toulouse.com — spécialistes dédiés)",N/A,N/A,medium,medium-high,70/100 (MEDIUM),P1,/services/dallage,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Marché avec des spécialistes purs (dallage-toulouse.com) — RK doit démontrer des réalisations réelles pour rivaliser
dallage extérieur Toulouse,fr,France,Toulouse,DALLAGE_TOULOUSE,commercial/local + informational (prix m2),75,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (SOCOREBAT, OCR, Isidéco, dallage-toulouse.com — spécialistes dédiés)",N/A,N/A,medium,medium-high,70/100 (MEDIUM),P1,/services/dallage,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Marché avec des spécialistes purs (dallage-toulouse.com) — RK doit démontrer des réalisations réelles pour rivaliser
prix dalle béton m2,fr,France,Toulouse,DALLAGE_TOULOUSE,commercial/local + informational (prix m2),75,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (SOCOREBAT, OCR, Isidéco, dallage-toulouse.com — spécialistes dédiés)",N/A,N/A,medium,medium-high,70/100 (MEDIUM),P1,/services/dallage,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,Marché avec des spécialistes purs (dallage-toulouse.com) — RK doit démontrer des réalisations réelles pour rivaliser
extension maison Toulouse,fr,France,Toulouse,EXTENSION_MAISON_TOULOUSE,commercial/local + informational (prix),85,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Cybel Extension - spécialiste national, Camif Habitat, Constructions Muretaines, QL Baticoncept)",N/A,N/A,medium-high,high,85/100 (HIGH),P1,/services/extension,page service + bloc prix sourcé,local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"ESTIMATE de prix trouvée via recherche (source La Maison Des Travaux, août 2026) : extension 2 pans ~1275-2850€/m2 à Toulouse. À citer avec la source, jamais présenté comme un prix RK Pyrénées tant que non confirmé par vous."
agrandissement maison Toulouse,fr,France,Toulouse,EXTENSION_MAISON_TOULOUSE,commercial/local + informational (prix),85,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Cybel Extension - spécialiste national, Camif Habitat, Constructions Muretaines, QL Baticoncept)",N/A,N/A,medium-high,high,85/100 (HIGH),P1,/services/extension,page service + bloc prix sourcé,local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"ESTIMATE de prix trouvée via recherche (source La Maison Des Travaux, août 2026) : extension 2 pans ~1275-2850€/m2 à Toulouse. À citer avec la source, jamais présenté comme un prix RK Pyrénées tant que non confirmé par vous."
prix extension maison Toulouse,fr,France,Toulouse,EXTENSION_MAISON_TOULOUSE,commercial/local + informational (prix),85,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Cybel Extension - spécialiste national, Camif Habitat, Constructions Muretaines, QL Baticoncept)",N/A,N/A,medium-high,high,85/100 (HIGH),P1,/services/extension,page service + bloc prix sourcé,local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"ESTIMATE de prix trouvée via recherche (source La Maison Des Travaux, août 2026) : extension 2 pans ~1275-2850€/m2 à Toulouse. À citer avec la source, jamais présenté comme un prix RK Pyrénées tant que non confirmé par vous."
extension maison prix m2,fr,France,Toulouse,EXTENSION_MAISON_TOULOUSE,commercial/local + informational (prix),85,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Cybel Extension - spécialiste national, Camif Habitat, Constructions Muretaines, QL Baticoncept)",N/A,N/A,medium-high,high,85/100 (HIGH),P1,/services/extension,page service + bloc prix sourcé,local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"ESTIMATE de prix trouvée via recherche (source La Maison Des Travaux, août 2026) : extension 2 pans ~1275-2850€/m2 à Toulouse. À citer avec la source, jamais présenté comme un prix RK Pyrénées tant que non confirmé par vous."
entreprise extension maison Toulouse,fr,France,Toulouse,EXTENSION_MAISON_TOULOUSE,commercial/local + informational (prix),85,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Cybel Extension - spécialiste national, Camif Habitat, Constructions Muretaines, QL Baticoncept)",N/A,N/A,medium-high,high,85/100 (HIGH),P1,/services/extension,page service + bloc prix sourcé,local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"ESTIMATE de prix trouvée via recherche (source La Maison Des Travaux, août 2026) : extension 2 pans ~1275-2850€/m2 à Toulouse. À citer avec la source, jamais présenté comme un prix RK Pyrénées tant que non confirmé par vous."
surélévation maison Toulouse,fr,France,Toulouse,EXTENSION_MAISON_TOULOUSE,commercial/local + informational (prix),85,85,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée (Cybel Extension - spécialiste national, Camif Habitat, Constructions Muretaines, QL Baticoncept)",N/A,N/A,medium-high,high,85/100 (HIGH),P1,/services/extension,page service + bloc prix sourcé,local pack + organic + PAA,voir COMPETITOR_ANALYSIS.md,"ESTIMATE de prix trouvée via recherche (source La Maison Des Travaux, août 2026) : extension 2 pans ~1275-2850€/m2 à Toulouse. À citer avec la source, jamais présenté comme un prix RK Pyrénées tant que non confirmé par vous."
aménagement extérieur Toulouse,fr,France,Toulouse,AMENAGEMENT_EXTERIEUR_TOULOUSE,commercial/local,70,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée mais surtout occupée par des paysagistes purs (Terra Création, Arboréo, Portelli) — angle différent du nôtre (maçonnerie/dallage) que du paysagisme végétal",N/A,N/A,medium,medium,65/100 (MEDIUM),P1,/services/amenagement-exterieur,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Se différencier des paysagistes : RK est positionné maçonnerie/dallage/structure extérieure, pas création de jardins végétalisés — le message doit rester honnête sur le périmètre réel du service"
terrasse bois Toulouse,fr,France,Toulouse,AMENAGEMENT_EXTERIEUR_TOULOUSE,commercial/local,70,80,N/A,N/A,N/A,N/A - pas d'accès Keyword Planner/Ahrefs/SEMrush dans cet environnement,"élevée mais surtout occupée par des paysagistes purs (Terra Création, Arboréo, Portelli) — angle différent du nôtre (maçonnerie/dallage) que du paysagisme végétal",N/A,N/A,medium,medium,65/100 (MEDIUM),P1,/services/amenagement-exterieur,page service,local pack + organic,voir COMPETITOR_ANALYSIS.md,"Se différencier des paysagistes : RK est positionné maçonnerie/dallage/structure extérieure, pas création de jardins végétalisés — le message doit rester honnête sur le périmètre réel du service"
